Date;Group;Series;Value
05/12/2016;Riksbank key interest rates;Repo rate;-0,50
06/12/2016;Riksbank key interest rates;Repo rate;-0,50
07/12/2016;Riksbank key interest rates;Repo rate;-0,50
08/12/2016;Riksbank key interest rates;Repo rate;-0,50
09/12/2016;Riksbank key interest rates;Repo rate;-0,50
12/12/2016;Riksbank key interest rates;Repo rate;-0,50
13/12/2016;Riksbank key interest rates;Repo rate;-0,50
14/12/2016;Riksbank key interest rates;Repo rate;-0,50
15/12/2016;Riksbank key interest rates;Repo rate;-0,50
16/12/2016;Riksbank key interest rates;Repo rate;-0,50
19/12/2016;Riksbank key interest rates;Repo rate;-0,50
20/12/2016;Riksbank key interest rates;Repo rate;-0,50
21/12/2016;Riksbank key interest rates;Repo rate;-0,50
22/12/2016;Riksbank key interest rates;Repo rate;-0,50
23/12/2016;Riksbank key interest rates;Repo rate;-0,50
27/12/2016;Riksbank key interest rates;Repo rate;-0,50
28/12/2016;Riksbank key interest rates;Repo rate;-0,50
29/12/2016;Riksbank key interest rates;Repo rate;-0,50
30/12/2016;Riksbank key interest rates;Repo rate;-0,50
02/01/2017;Riksbank key interest rates;Repo rate;-0,50
03/01/2017;Riksbank key interest rates;Repo rate;-0,50
04/01/2017;Riksbank key interest rates;Repo rate;-0,50
